id,nombre,categoria,precio,precio_mayorista,descripcion,imagen,destacado,talles,colores,material
1,Sweater Plush Morley Premium,Sweaters,7500,,"Sweater de morley plush, tacto suave.",,,S–XXL,,
2,Sweater Wafle Frisado,Sweaters,8000,,Tejido wafle con frisa. 🔥 Uno de los más pedidos.,,,S–XXL,,
3,Sweater Chomba Chenile Premium,Sweaters,22900,,Sweater tipo chomba en chenille premium.,,,S–XXL,,
4,Sweater Texturado Media Polera,Sweaters,19000,13900,Media polera texturada.,,,S–XXL,,
5,Sweater Boxy Trenzado,Sweaters,25000,19500,Corte boxy con trenzado. Varios colores.,,,M–XXL,,
6,Sweater Darlon Liso Premium,Sweaters,13900,,Darlon liso premium. 8 colores en stock.,,,S–XXL,,
7,Sweater Darlon Micropolar,Sweaters,13900,,"Darlon micropolar, abrigado.",,,S–XXL,,
8,Buzo Polo Frisa Premium,Buzos,20900,,Buzo con cuello polo y frisa premium.,,TRUE,S–XL,,
9,Canguro Plush Premium,Buzos,16900,,"Canguro con capucha, morley plush.",,,S–XXL,,
10,Hoodie Frisa Invisible Premium,Buzos,19500,,Hoodie con frisa invisible peinada.,,,S–XL,,
11,Campera Rustico Peinado,Camperas,14900,,Campera de rústico peinado.,,,S–XXL,,
12,Chomba Old Money Premium,Chombas,16900,,"Chomba estilo old money, premium.",,,S–XXL,,
13,Chomba Old Money Combinada,Chombas,18900,,Chomba old money combinada.,,,S–XXL,,
14,Chomba Wafle,Chombas,17900,,Chomba en tejido wafle. 🔥,,,S–XXL,,
15,Remera Over Jersey 20.1,Remeras,11500,,Remera oversize jersey 20.1.,,,S–XL,,
16,Remera Clasica Jersey 24.1,Remeras,9500,,Remera clásica jersey 24.1.,,,S–XXL,,
17,Jean Mom Gris Nevado,Pantalones,19500,,"Jean mom fit, gris nevado.",,,38–48,,
18,Jean Mom Negro,Pantalones,18900,,"Jean mom fit, negro.",,,38–50,,
19,Joggin Baggy Darlon,Pantalones,11000,,Joggin baggy en darlon. 🔥,,,S–XL,,
20,Baggy Darlon con Regulador,Pantalones,12000,,Baggy darlon con regulador en cintura.,,,S–XL,,
21,Baggy Darlon Patagonia,Pantalones,21900,,Baggy darlon línea Patagonia.,,,M–XXL,,
22,Joggin Baggy Frisado,Pantalones,17000,,Joggin baggy. Tela friza invisible peinada.,,,S–XL,,
23,Joggin Baggy Friza Peinada,Pantalones,25000,19500,Joggin baggy en friza peinada.,,,S–XXL,,
24,Media Polera Termica,Sweaters,11000,,Media polera térmica. 🔥,,,S–XXL,,
25,Camisaco de Paño Beige,Camperas,11000,,"Camisaco de paño, color beige.",,,M–XL,,
26,Conjunto Over Hawaii Importado,Conjuntos,10000,,Conjunto oversize Hawaii importado. Blanco y chocolate.,,,M–XXL,,
27,Boxer Lody Liso Talle Especial,Ropa interior,6850,,"Boxer Lody liso, talles especiales.",,,XXL–XXXL,,
28,Boxer Lody Lisos,Ropa interior,6500,,Boxer Lody lisos.,,,S–XL,,
29,Pack x10 Camperas Boxy Frisa,Packs x10,215000,,Pack x10 camperas boxy frisa. Venta por mayor.,,,S–XL,,
30,Pack x10 Sweater Wafle Frisado,Packs x10,75000,,Pack x10 sweater wafle frisado. Venta por mayor.,,,S–XXL,,
31,Pack x10 Baggy Darlon,Packs x10,108000,,Pack x10 baggy darlon. Venta por mayor.,,,S–XL,,
32,Pack x10 Baggy Frisa Premium,Packs x10,165000,,Pack x10 baggy frisa premium. Venta por mayor.,,,S–XL,,
33,Pack x10 Sweaters (2 curvas),Packs x10,70000,,"Pack x10 sweaters, dos curvas surtidas. Venta por mayor.",,,S–XL,,
